id,fullName,name,country,politicalGroup,nationalPoliticalGroup,acta,actavote,gdpr,gdprvote,article13,a13vote,biometrics30,biometrics31,biovote,terrorism,terrorvote
96805,Paul NUTTALL,Nuttall,United Kingdom,Europe of Freedom and Direct Democracy Group,The Brexit Party,2,good,2,bad,4,none,2,2,good,4,none
96648,Philippe LAMBERTS,Lamberts,Belgium,Group of the Greens/European Free Alliance,Ecologistes Confédérés pour l'Organisation de Luttes Originales,2,good,1,good,2,good,2,2,good,4,none
96739,Reinhard BÜTIKOFER,Bütikofer,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,1,bad
122885,Rina Ronja KARI,Kari,Denmark,Confederal Group of the European United Left - Nordic Green Left,Folkebevægelsen mod EU,4,none,1,good,2,good,2,2,good,0,neutral
193273,Romeo FRANZ,Franz,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,4,none,4,none,2,good,2,2,good,1,bad
96915,Sergio Gaetano COFFERATI,Cofferati,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sinistra Italiana,2,good,1,good,2,good,2,2,good,1,bad
96734,Ska KELLER,Ska Keller,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen,2,good,1,good,2,good,2,2,good,4,none
28266,Sophia in 't VELD,in 't Veld,Netherlands,Group of the Alliance of Liberals and Democrats for Europe,Democraten 66,2,good,1,good,2,good,2,2,good,1,bad
124997,Soraya POST,Post,Sweden,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Feministiskt initiativ,4,none,4,none,4,none,2,2,good,0,neutral
125090,Sotirios ZARIANOPOULOS,Zarianopoulos,Greece,Non-attached Members,Communist Party of Greece,4,none,4,none,4,none,2,2,good,2,good
124902,Stanisław ŻÓŁTEK,Żółtek,Poland,Europe of Nations and Freedom Group,Kongres Nowej Prawicy,4,none,4,none,2,good,2,2,good,2,good
124863,Stefan ECK,Eck,Germany,Confederal Group of the European United Left - Nordic Green Left,Independent,4,none,4,none,2,good,2,2,good,0,neutral
